id,huml,humw,ulnal,ulnaw,feml,femw,tibl,tibw,tarl,tarw
0,8.078,6.68,7.2010000000000005,4.88,4.181,3.7,5.5,4.03,3.87,3.84
1,8.891,6.63,8.053,5.59,4.704,4.3,80.22,4.51,4.15,4.01
2,7.997,6.37,6.926,5.28,4.307,3.9,75.35,4.04,3.8310000000000004,3.34
3,7.765000000000001,5.7,6.5760000000000005,4.77,4.004,3.52,69.17,3.4,3.5780000000000003,3.41
4,6.279999999999999,4.84,5.2090000000000005,3.73,3.3950000000000005,2.72,56.27000000000001,2.96,3.1879999999999997,3.13
5,6.192,4.78,5.046,3.47,4.952,4.41,56.95,2.73,2.907,2.83
6,7.973000000000001,5.94,6.739,4.5,4.207,3.41,71.26,3.56,3.722,3.64
7,8.698,5.68,7.452,4.55,4.446,3.78,76.02,3.81,3.7939999999999996,3.81
8,11.82,7.82,11.664,6.13,5.933,5.45,110.0,5.58,6.162,4.37
9,14.5,10.42,14.4,7.05,7.095999999999999,7.44,120.0,7.31,7.867,6.34
10,16.5,11.45,15.6,8.68,8.025,7.85,143.0,8.25,8.661,6.63
11,18.6,9.83,15.2,8.76,5.602,7.02,185.0,8.07,9.08,4.59
12,17.2,8.44,14.2,8.43,5.218,6.68,180.0,9.62,8.258,5.5
13,14.891,6.78,12.135,6.5,4.429,6.33,155.0,6.68,7.3709999999999996,4.24
14,14.919,6.98,12.148,6.21,4.333,5.39,155.0,6.61,7.565,3.36
15,14.059000000000001,6.59,11.597,5.81,3.975,5.61,166.0,7.83,7.486,3.52
16,13.523,6.22,10.878,5.83,3.7990000000000004,5.13,157.0,7.18,7.244,3.53
17,12.453,6.01,10.037,5.82,3.4539999999999997,5.43,145.0,7.12,6.5920000000000005,3.28
18,12.703,6.18,10.253,5.64,3.652,4.89,150.0,6.78,6.726999999999999,3.06
19,10.602,4.47,9.579,4.33,4.196,4.8,129.59,6.94,7.029000000000001,3.35
20,11.384,4.8,10.071,4.39,4.3950000000000005,5.08,133.27,7.41,7.090999999999999,2.69
21,10.862,5.04,9.77,4.66,4.508,5.78,128.0,7.14,6.548,4.25
22,11.033,5.86,9.709999999999999,4.6,4.382,5.73,126.0,7.86,6.417,3.84
23,6.362,3.42,5.9,2.75,3.016,2.92,74.66,4.38,3.9259999999999997,1.97
24,7.073,3.69,6.519,2.93,3.2520000000000002,3.54,80.42,4.36,4.37,2.28
25,7.165000000000001,3.37,6.611,2.77,3.6979999999999995,3.06,77.11,3.94,3.804,2.83
26,4.7509999999999994,7.23,3.249,8.26,5.029,5.0,75.2,4.95,2.2510000000000003,10.73
27,4.62,7.06,3.2729999999999997,8.58,5.215,5.11,75.99,4.77,2.324,10.24
28,4.113,6.71,3.1,7.73,4.951,4.69,71.94,4.54,2.246,9.45
29,7.25,14.78,4.583,10.33,7.702,7.76,128.75,6.49,3.2479999999999998,13.82
30,7.505,12.55,4.404999999999999,8.62,7.531000000000001,6.76,112.6,7.22,3.431,14.09
31,17.5,10.69,22.8,8.65,4.713,6.16,64.53,4.41,1.842,3.65
32,18.8,11.35,25.0,9.64,5.2490000000000006,7.6,69.06,5.13,1.952,6.51
33,21.0,13.03,27.8,10.74,5.686999999999999,8.03,76.66,5.2,2.254,7.16
34,18.5,10.91,23.5,8.02,5.1,6.71,68.67,4.24,2.0140000000000002,6.3
35,17.9,11.16,22.2,8.57,4.7509999999999994,6.39,65.18,4.51,1.967,6.64
36,18.3,11.37,28.0,9.22,5.234,7.24,68.09,4.61,2.008,6.41
37,18.5,12.47,24.2,9.8,5.239,7.5,68.01,4.66,1.9440000000000002,7.21
38,27.2,14.86,32.0,10.42,9.16,9.71,132.0,10.23,8.177,8.91
39,27.0,14.25,31.0,10.9,8.620000000000001,9.96,125.76,9.63,7.918000000000001,10.05
40,10.062000000000001,6.6,11.0,5.8,3.6109999999999998,2.93,55.099999999999994,3.19,2.881,4.82
41,10.004999999999999,6.36,10.78,5.83,3.679,3.19,54.97,3.38,2.778,5.07
42,14.7,8.44,15.5,5.9,5.840999999999999,6.87,108.97,7.63,6.34,6.7
43,15.6,8.38,16.7,6.02,5.93,6.89,112.0,7.73,6.632,6.91
44,12.739,6.81,13.1,4.83,4.968999999999999,5.04,87.93,6.1,5.288,5.1
45,10.884,6.98,11.6,4.51,4.881,5.31,87.72,7.11,4.746,4.93
46,13.2,8.27,14.2,5.68,5.595000000000001,6.45,117.14,7.9,6.171,6.02
47,17.7,9.21,19.3,7.48,5.85,7.02,90.71,6.69,5.577,8.79
48,18.2,9.14,19.6,7.41,6.048,6.76,91.0,6.55,5.724,8.23
49,15.0,8.05,16.7,6.66,5.298,5.9,78.22,5.62,4.6049999999999995,7.97
50,17.1,8.39,18.7,6.68,5.867,6.7,87.57,6.34,5.044,8.41
51,16.1,8.22,18.1,6.72,4.983,5.36,69.04,5.18,3.7310000000000003,7.44
52,17.5,9.12,20.1,7.24,5.521,6.08,74.38,5.43,3.9619999999999997,7.87
53,2.263,2.48,2.7239999999999998,2.03,2.104,2.02,37.69,1.82,2.191,1.72
54,2.411,2.33,2.805,1.89,2.2079999999999997,2.05,40.129999999999995,1.68,2.373,1.77
55,2.898,2.74,3.6369999999999996,2.29,2.841,2.49,50.89,2.19,3.207,2.03
56,31.0,14.4,31.5,9.51,8.876999999999999,8.1,180.0,9.45,9.613,7.69
57,25.0,11.91,25.2,8.31,7.304,7.37,160.0,8.47,8.245999999999999,7.04
58,42.0,17.84,42.2,11.72,11.054,9.99,237.0,11.03,12.834999999999999,8.93
59,25.0,11.28,24.75,7.5,6.904000000000001,6.2,156.0,7.19,8.336,6.13
60,30.0,12.48,30.0,8.65,8.405,8.53,178.0,9.61,9.901,7.55
61,2.367,1.92,2.075,1.82,1.616,1.68,45.36,1.58,3.163,1.83
62,3.011,2.54,2.872,2.34,2.066,2.17,57.89,2.38,3.475,2.52
63,3.65,2.46,3.442,2.25,1.78,1.59,42.5,1.48,2.553,1.31
64,8.345,4.43,8.159,4.0,3.816,3.24,79.1,3.1,4.431,2.82
65,8.623000000000001,4.53,8.331,3.7,3.8899999999999997,3.16,83.26,3.64,4.604,2.76
66,3.438,1.88,3.511,1.71,1.435,1.17,37.47,1.29,2.545,1.13
67,3.247,1.94,3.174,1.78,1.4369999999999998,1.23,33.29,1.17,2.0789999999999997,1.09
68,3.8340000000000005,2.37,3.696,2.01,1.512,1.3,35.46,1.27,2.2960000000000003,1.2
69,4.121,2.5,4.3100000000000005,2.43,1.8199999999999998,1.44,44.69,1.58,3.082,1.36
70,2.663,1.63,2.7190000000000003,1.72,1.221,1.02,31.559999999999995,1.07,2.162,0.83
71,2.681,1.66,2.648,1.51,1.254,0.97,31.550000000000004,1.01,2.117,0.88
72,4.526,3.29,3.6729999999999996,3.1,2.521,2.1,49.09,2.38,2.753,2.03
73,4.345000000000001,3.2,3.4189999999999996,3.22,2.383,2.18,48.10000000000001,2.09,2.6239999999999997,1.92
74,9.945,4.92,9.355,4.07,4.1049999999999995,3.42,86.62,3.61,4.644,2.99
75,10.693999999999999,5.72,10.456999999999999,4.37,4.4990000000000006,3.62,93.84,4.13,5.117,3.33
76,10.925,5.97,10.478,4.8,4.8420000000000005,4.05,94.23,4.36,5.201,3.48
77,10.725,6.13,10.517,4.81,4.545,4.34,92.31,4.53,4.826,3.22
78,5.311999999999999,3.0,5.274,2.8,2.279,1.95,52.24,2.14,3.091,1.73
79,5.419,3.16,5.428,3.21,2.308,1.98,53.7,2.04,3.129,1.56
80,6.4719999999999995,4.04,6.14,3.13,3.283,2.48,64.58,2.65,3.112,2.14
81,6.912000000000001,4.35,6.547,3.65,3.6399999999999997,2.81,67.5,2.63,3.316,2.23
82,14.3,6.94,14.386000000000001,5.47,4.768,4.44,108.1,5.31,6.304,3.82
83,15.430000000000001,7.46,15.466,6.09,5.108,5.27,112.75,5.36,6.516,4.07
84,9.049,4.7,9.702,4.11,2.997,2.53,58.83,2.67,3.432,2.75
85,8.959,5.11,9.802,4.46,2.996,2.55,58.09,2.79,3.44,2.94
86,8.9,4.8,9.39,3.96,3.197,2.77,62.66,2.73,3.649,3.23
87,8.948,4.76,9.24,4.09,2.869,2.58,57.8,2.69,3.194,2.66
88,8.07,5.23,8.596,4.25,3.28,2.98,70.57,2.88,3.9770000000000003,2.38
89,8.097,5.25,8.664,3.99,3.247,2.76,70.28,3.04,3.908,2.38
90,7.593999999999999,5.25,8.065999999999999,4.26,3.0940000000000003,2.85,68.23,2.97,3.7380000000000004,2.47
91,10.784,4.02,7.020999999999999,3.29,2.652,1.97,52.41,2.56,3.071,1.9
92,6.937,4.07,6.708,3.61,2.85,2.26,53.42,2.03,3.1079999999999997,1.99
93,10.28,5.82,10.674,4.71,7.072,3.05,70.74,3.09,4.027,3.0
94,10.028,5.6,10.943999999999999,4.88,3.7939999999999996,2.94,72.52,3.39,4.043,2.89
95,7.2170000000000005,3.94,7.439,3.56,2.429,1.83,50.64,2.32,2.84,2.2
96,10.314,5.92,10.365,4.78,3.88,3.41,75.54,3.47,4.289,3.12
97,10.741,5.69,11.05,5.32,4.061999999999999,3.15,81.86,3.71,4.462,2.95
98,6.806,3.76,6.961,3.2,2.5010000000000003,2.05,51.08,2.58,2.7190000000000003,2.0
99,6.571,3.81,6.864,3.36,2.455,1.97,48.94,1.94,2.81,2.25
100,6.706,3.54,6.798,3.24,2.482,1.77,51.88000000000001,1.86,3.011,1.63
101,6.759,3.73,6.8549999999999995,3.19,2.446,1.89,50.06,2.36,2.721,1.77
102,10.027,5.75,10.795,4.86,3.55,3.03,69.54,3.21,3.9829999999999997,3.28
103,6.85,3.77,7.115,3.34,2.4859999999999998,1.95,51.44,2.1,3.013,2.37
104,6.815,3.84,7.231,3.42,2.423,1.9,50.26,2.13,2.916,2.05
